condition,trial,step,ensemble_accuracy,member_accuracy_mean,parameter_cosine_mean,parameter_relative_spread,logit_correlation_mean,prediction_disagreement_mean
noise_0.01,2,0,9.716796875,9.716796875,0.9339194553239005,0.24774184823036194,0.9981064817735127,0.0
noise_0.01,2,100,54.4921875,14.453125,0.2495058732373374,1.3843353986740112,-0.04694770784200435,92.1875
noise_0.01,2,200,96.875,15.570068359375,0.1877992046730859,1.568379521369934,-0.07761149964894035,93.31577845982143
noise_0.01,2,300,100.0,15.777587890625,0.17659634910523891,1.6065798997879028,-0.0824872455518094,93.46400669642857
noise_0.01,2,400,100.0,15.887451171875,0.17363433885787213,1.6169044971466064,-0.08386140464738544,93.47272600446429
noise_0.01,2,500,100.0,15.93017578125,0.17189499735832214,1.623023509979248,-0.08453050295689277,93.49714006696429
noise_0.01,2,600,100.0,15.838623046875,0.17057815673095839,1.6276969909667969,-0.0849358846067584,93.53899274553571
noise_0.01,2,700,100.0,15.869140625,0.16959983137037074,1.6311800479888916,-0.08517384038506341,93.54422433035714
noise_0.01,2,800,100.0,15.911865234375,0.16878328977950982,1.6340980529785156,-0.08540567116246425,93.56166294642857
noise_0.1,2,0,9.66796875,9.735107421875,0.10560049968106407,1.8977267742156982,0.7176179651703153,59.89467075892857
noise_0.1,2,100,75.439453125,18.035888671875,0.0603052029785301,2.1501224040985107,-0.04842667085384684,91.27894810267857
noise_0.1,2,200,99.658203125,18.6767578125,0.05154745423767183,2.2065951824188232,-0.06641225983288937,91.69398716517857
noise_0.1,2,300,100.0,18.66455078125,0.04988054987708373,2.2179362773895264,-0.0699600081279641,91.79861886160714
noise_0.1,2,400,100.0,18.66455078125,0.04942570500341909,2.2209911346435547,-0.0709735581019361,91.84744698660714
noise_0.1,2,500,100.0,18.646240234375,0.049035721724586825,2.2236690521240234,-0.07138777298886063,91.92766462053571
noise_0.1,2,600,100.0,18.603515625,0.048778119131124446,2.2254137992858887,-0.0718081191631167,91.95382254464286
noise_0.1,2,700,100.0,18.609619140625,0.04863222605282707,2.226409673690796,-0.07209772355521896,91.93987165178571
noise_0.1,2,800,100.0,18.597412109375,0.048455691597025306,2.227613687515259,-0.07229794541074495,91.98172433035714
