vectors,trial,steps_per_stage,stage,accuracy,nll,correction_parameters,total_parameters,steps_per_epoch
2048,0,800,6,100.0,0.008319808170199394,1482,8892,8
2048,0,800,7,100.0,0.002071817871183157,1482,10374,8
2048,0,800,8,100.0,0.0009994975989684463,1482,11856,8
2048,1,800,1,50.0,1.3961591720581055,1482,1482,8
2048,1,800,2,80.37109375,0.6468240022659302,1482,2964,8
2048,1,800,3,97.216796875,0.21777695417404175,1482,4446,8
2048,1,800,4,99.951171875,0.05482747405767441,1482,5928,8
2048,1,800,5,100.0,0.0136092659085989,1482,7410,8
2048,1,800,6,100.0,0.003282683901488781,1482,8892,8
2048,1,800,7,100.0,0.0007750202203169465,1482,10374,8
2048,1,800,8,100.0,0.0007405733922496438,1482,11856,8
2048,2,800,1,50.0,1.3862437009811401,1482,1482,8
2048,2,800,2,77.734375,0.685820460319519,1482,2964,8
2048,2,800,3,96.533203125,0.2417915165424347,1482,4446,8
2048,2,800,4,100.0,0.05947354435920715,1482,5928,8
2048,2,800,5,100.0,0.015978887677192688,1482,7410,8
2048,2,800,6,100.0,0.0036610353272408247,1482,8892,8
2048,2,800,7,100.0,0.0008870075107552111,1482,10374,8
2048,2,800,8,100.0,0.0007348094368353486,1482,11856,8
8192,0,3200,1,23.5107421875,2.049936056137085,1482,1482,32
8192,0,3200,2,33.09326171875,1.813500165939331,1482,2964,32
8192,0,3200,3,42.32177734375,1.5869038105010986,1482,4446,32
8192,0,3200,4,51.1962890625,1.3629891872406006,1482,5928,32
8192,0,3200,5,60.009765625,1.1545302867889404,1482,7410,32
8192,0,3200,6,67.71240234375,0.958534300327301,1482,8892,32
8192,0,3200,7,74.79248046875,0.7840026021003723,1482,10374,32
8192,0,3200,8,81.40869140625,0.6287203431129456,1482,11856,32
8192,1,3200,1,22.76611328125,2.060054302215576,1482,1482,32
8192,1,3200,2,32.70263671875,1.8232864141464233,1482,2964,32
8192,1,3200,3,42.83447265625,1.582305908203125,1482,4446,32
8192,1,3200,4,51.5625,1.3606094121932983,1482,5928,32
8192,1,3200,5,60.21728515625,1.148608922958374,1482,7410,32
8192,1,3200,6,68.06640625,0.9569350481033325,1482,8892,32
8192,1,3200,7,74.67041015625,0.7888697981834412,1482,10374,32
8192,1,3200,8,81.53076171875,0.627686619758606,1482,11856,32
8192,2,3200,1,22.76611328125,2.056800365447998,1482,1482,32
8192,2,3200,2,33.935546875,1.8203504085540771,1482,2964,32
8192,2,3200,3,42.61474609375,1.5847567319869995,1482,4446,32
8192,2,3200,4,50.9765625,1.3623149394989014,1482,5928,32
8192,2,3200,5,59.5947265625,1.1518173217773438,1482,7410,32
8192,2,3200,6,67.7490234375,0.9584699869155884,1482,8892,32
8192,2,3200,7,74.8046875,0.7908430099487305,1482,10374,32
8192,2,3200,8,81.4208984375,0.62787264585495,1482,11856,32
